custid,consecmonths,KPI_DeviceSat,KPI_NetworkQual,churn
844336,28,0.0160345039664219,0.7603546409999999,N
146041,33,0.0170551148054854,0.526147204,N
847745,41,0.00889616180366376,0.798810583,N
285565,32,0.0164598085384115,0.631074633,N
754611,4,0.0207106576742021,0.72642769,N
100018,26,0.0110610845340877,0.7603546409999999,N
195381,18,0.0141284022811508,0.586984301,N
665504,22,0.0173072488274286,0.7464753270000001,N
529231,13,0.0171973594318547,0.480935685,N
358025,42,0.0164883365616948,0.637437199,N
441653,15,0.017006771227395003,0.493775228,N
430610,23,0.0283791932398839,0.588356,N
273314,32,0.0104622892672466,0.5244084920000001,N
57668,33,0.010627870782518,0.477337418,N
717684,28,0.0176395305614047,0.676293785,N
637210,22,0.0159813952103922,0.798810583,N
351148,24,0.0104255198590464,0.691894965,N
959615,31,0.0207401334772132,0.662148594,N
747647,20,0.0180597004687501,0.713182599,N
927542,31,0.0121229647534408,0.5766812729999999,N
18523,24,0.009887117991977707,0.7988804740000001,N
127001,24,0.0166218212001711,0.676293785,Y
384131,15,0.0127460603044644,0.6952925190000001,N
98467,13,0.0182306743414251,0.592689247,N
185604,22,0.0173923511294928,0.316290503,N
243163,32,0.0152495995861393,0.7603546409999999,N
144652,17,0.0212004516180784,0.373971178,N
941654,37,0.0115079229226514,0.494816793,N
288493,21,0.00966244373518907,0.785960397,N
860457,21,0.0228034371581426,0.798810583,N
127386,19,0.0109327690294595,0.701120968,N
937795,23,0.0214952679063629,0.493775228,N
831993,32,0.0248741896443985,0.504101766,N
435945,29,0.0188606844307491,0.465253994,N
449853,24,0.0171297684027421,0.6762420640000001,N
184369,41,0.0193939175548491,0.716983294,N
601428,20,0.011598841752036002,0.376320628,N
518246,26,0.0116655677748666,0.662148594,N
698042,32,0.00715434564871308,0.526147204,N
99579,38,0.018215539924269,0.5847465070000001,Y
702464,32,0.0119101339502722,0.713182599,N
873682,20,0.0174191353836802,0.67244134,N
379826,29,0.0192228709056608,0.596008496,N
735337,44,0.0200522695398893,0.419794699,N
931548,32,0.0276391556633162,0.6762420640000001,N
308712,19,0.0173198060211631,0.42586013,N
54918,17,0.0177541009103878,0.563376754,N
655089,28,0.0198153416156108,0.72866274,N
450972,24,0.00932025585008732,0.180675803,N
433315,22,0.0130731352372554,0.493775228,N
854319,21,0.0216369744735049,0.6453962520000001,N
444703,22,0.0209916703083228,0.83990507,N
256550,39,0.0216645009697815,0.590359394,N
200606,31,0.0154654153070133,0.518515331,N
792794,42,0.0232721303863431,0.504723331,Y
134503,18,0.0072391728399379,0.7603546409999999,N
490233,27,0.0246958191413872,0.206129064,N
444448,31,0.0257763169127366,0.570390095,N
774125,35,0.0132523640050618,0.373971178,N
272365,33,0.0168044456533144,0.739349272,N
444826,34,0.0212706460871373,0.494816793,Y
115329,30,0.0214772109861313,0.480705402,N
148486,35,0.0223114578270746,0.82300172,N
675026,27,0.0171013604358651,0.771366181,N
277582,44,0.0132744386875459,0.7603546409999999,N
120514,22,0.0257312878642035,0.83990507,N
170275,19,0.0127886674944387,0.549088394,N
187187,30,0.014617283448146,0.6952925190000001,Y
837617,35,0.0104932132125778,0.595898673,N
3651,25,0.0152146751178284,0.373971178,N
788090,11,0.0051289071037109715,0.465253994,N
960071,20,0.0112057710218504,0.5766812729999999,N
175256,17,0.0266391357889785,0.8077399609999999,N
431954,34,0.0109556714683646,0.6952925190000001,N
931354,22,0.00899861673854725,0.504723331,N
225731,19,0.0215072462962018,0.206129064,N
529805,30,0.0177307051701464,0.467185722,N
389543,23,0.0126940727545609,0.180675803,N
681631,26,0.0143131396451026,0.753356481,N
38282,35,0.0249315909609829,0.531512605,N
755553,42,0.0145712177882126,0.688403005,N
743702,39,0.0133396419155235,0.600171687,N
217272,36,0.00618422756189086,0.740149873,N
883925,24,0.0135030241005358,0.303557093,N
686299,11,0.0262715693590163,0.676293785,N
239143,40,0.0198906224209987,0.649688725,N
845228,41,0.0169681531783012,0.666347695,N
38606,35,0.0161968976019669,0.6453962520000001,N
251767,35,0.0150525611137289,0.72866274,N
402421,31,0.0260222854541485,0.771366181,Y
366585,10,0.0112940965325397,0.206129064,N
750705,30,0.0127955337114912,0.7022373940000001,N
205278,23,0.0219791319383609,0.7140736990000001,N
980934,24,0.00635021153401722,0.82300172,N
350004,28,0.0211221699700944,0.494816793,N
752743,23,0.0197460252346039,0.457870484,N
35331,21,0.0190168922989248,0.699822899,N
847461,14,0.0163873805873374,0.68596116,N
312852,18,0.0256444088386974,0.696959938,N
115036,37,0.00774946541519262,0.469283276,N
324186,24,0.00974354132524907,0.563376754,N
508568,37,0.0188979550702521,0.7603546409999999,N
561259,35,0.0072529625650111906,0.7603546409999999,N
507662,18,0.0168241371211963,0.8077399609999999,N
864377,21,0.0200381136327467,0.71239533,N
367914,14,0.0163216841759724,0.206129064,N
882062,22,0.0207137254833204,0.476305609,N
361748,41,0.0182227375877674,0.52729759,N
791383,27,0.0300647416660119,0.494816793,Y
359442,25,0.0208877966798405,0.72642769,Y
117110,19,0.0266266852243628,0.736806298,N
581468,43,0.0218853032923,0.83990507,N
519609,16,0.00672370935228209,0.699822899,N
399473,21,0.0147652665156681,0.7603546409999999,N
456826,31,0.017064765753221,0.649688725,N
899093,31,0.0209628357788087,0.280732339,N
433140,28,0.0171781316669764,0.771366181,N
981797,19,0.0233235173910347,0.586984301,N
835501,24,0.0117610219076033,0.856387665,N
602693,20,0.0184892029276896,0.549088394,N
161441,31,0.0268079135489895,0.710411481,N
471419,28,0.0192346884307906,0.180675803,N
929943,31,0.0225833776150401,0.373971178,N
901118,33,0.0125017683454864,0.622294372,N
764298,20,0.0169619416267661,0.637194809,N
511811,20,0.0223059550977285,0.535241194,N
724567,38,0.00812181761394875,0.477337418,N
799449,20,0.0184775287499643,0.126119755,N
584669,16,0.0253769911138345,0.57554101,N
360776,23,0.0193968195500005,0.590359394,N
178666,29,0.0170342051083131,0.280732339,N
511446,25,0.0166980445360564,0.477337418,N
515896,38,0.0258144314655229,0.548771407,N
264697,37,0.016348924810167,0.595898673,N
546494,29,0.0166425100761798,0.7140736990000001,N
390435,28,0.0260473323580885,0.755697721,N
318302,28,0.0177436403592693,0.6952925190000001,N
479708,23,0.0193614887222597,0.677932753,N
664327,14,0.0103819636366928,0.7632305429999999,N
931368,20,0.0229701016630402,0.578274481,N
682173,20,0.0217763208890174,0.052555223,N
158093,30,0.0183142043917217,0.280732339,N
456640,26,0.0114048571290026,0.5766812729999999,N
947814,20,0.00833113764900685,0.7292331459999999,N
154975,34,0.0162092169992799,0.480935685,N
358631,15,0.015950006456591004,0.180675803,N
875885,9,0.0209713125849197,0.180675803,N
552977,31,0.0207552950564975,0.666347695,N
326748,28,0.0223264180115538,0.477337418,Y
77488,38,0.0088682153150419,0.856387665,N
208037,22,0.00928148124828315,0.548771407,N
814420,27,0.0143968195500004,0.696959938,N
212486,14,0.0229812616027869,0.691894965,N
922628,17,0.0113004516180784,0.7251544259999999,N
586472,35,0.0222107392165747,0.637194809,N
473475,25,0.0153188358546684,0.649688725,N
324314,27,0.0136121885901642,0.465253994,N
840797,37,0.00953188687506913,0.736806298,N
560152,19,0.0207642392663731,0.480935685,N
949534,35,0.0214474315867137,0.6793432159999999,N
651029,29,0.018170744359957,0.590359394,Y
137903,22,0.019180577064339,0.206129064,N
170165,32,0.0195393017825253,0.180675803,N
759424,27,0.0081215051488912,0.736806298,N
311673,23,0.0198701016630402,0.68596116,N
661201,28,0.0259022002073661,0.787542904,N
205145,26,0.0159641848627448,0.764495202,Y
974346,28,0.0130642446538675,0.480935685,N
216121,20,0.0169128591411497,0.688403005,N
630076,34,0.0156487298507446,0.7292331459999999,N
151932,23,0.0229054143365704,0.494816793,N
303176,36,0.0207305074520255,0.753356481,Y
887524,24,0.0159262943975644,0.280732339,N
794130,23,0.015931965490377,0.713182599,N
945727,24,0.010587138958746,0.753356481,N
656323,21,0.0121347048269,0.494816793,N
41051,29,0.0249943215968403,0.494816793,N
142181,28,0.0116383489141724,0.67244134,N
890763,23,0.0136251744702199,0.692426419,N
808458,31,0.0152861398940312,0.67244134,N
968705,24,0.0155844617805561,0.570390095,N
723232,30,0.0178188643931782,0.180675803,N
616673,24,0.0224626936865868,0.771366181,N
13083,18,0.0132226678669496,0.7603546409999999,N
434742,39,0.0184900748592653,0.504723331,N
672745,36,0.0177987188999519,0.787542904,N
180048,31,0.00730613378021289,0.494816793,N
345204,18,0.0167708305122347,0.57554101,N
967781,8,0.0115017756034994,0.480935685,N
195804,25,0.00702748383668035,0.740975301,N
787418,23,0.0201415996959643,0.696959938,N
841507,28,0.0214721452903336,0.206129064,N
160030,30,0.0230911396572898,0.206129064,N
274975,28,0.0110093211962345,0.504723331,N
443079,42,0.0220521582300738,0.592689247,N
990478,21,0.0208436403592693,0.504723331,N
631844,30,0.0210603480297907,0.649688725,N
442625,35,0.01605816288879,0.505495235,N
668487,29,0.0154465109367143,0.677932753,N
546798,38,0.030265639100081006,0.82300172,N
301843,19,0.0177810906522197,0.744360902,N
887693,28,0.0225138518239581,0.578274481,N
584597,6,0.0204791744521512,0.493775228,N
686480,31,0.0212367186186605,0.206129064,N
961050,38,0.0236394781919386,0.736806298,N
105404,30,0.0229840500503507,0.7467135090000001,N
484464,28,0.0205855929546057,0.6581196579999999,N
578969,27,0.0176665158165647,0.798810583,N
401246,23,0.0212214164927738,0.518515331,N
894866,22,0.0222326619699924,0.701120968,N
325548,29,0.0254932872733867,0.701120968,N
431868,28,0.008203199792164,0.592689247,N
862028,31,0.0213335034111547,0.762236806,N
466010,34,0.0164287914778147,0.206129064,N
692512,18,0.0187420724412909,0.699822899,N
796539,33,0.0199952696216916,0.736806298,N
459404,21,0.0229256584718204,0.55568636,N
58525,30,0.00987403828583957,0.504101766,N
586905,25,0.0221661529790263,0.771366181,N
597819,38,0.0122959431275238,0.180675803,N
854173,38,0.0303598085384115,0.83990507,N
888881,18,0.0220546737562669,0.771366181,N
577988,43,0.0192368616465586,0.206129064,N
632587,26,0.0240304476542146,0.518515331,N
584788,24,0.0162945602033423,0.6793432159999999,N
910747,11,0.0165041732544853,0.180675803,N
676132,22,0.0200809660779182,0.469283276,N
62249,27,0.0122830321296028,0.716983294,N
387770,21,0.0189668999363518,0.504101766,N
483923,26,0.0216352913988908,0.206129064,N
808483,18,0.0199679314023387,0.563376754,N
506630,28,0.0191279891118364,0.504101766,N
142550,33,0.0205730304026712,0.480705402,N
215753,34,0.0183425345457285,0.655300173,N
335189,40,0.0214936474314938,0.578274481,N
361700,36,0.0198629083459676,0.6581196579999999,N
872987,32,0.0271439243278827,0.303557093,N
187570,18,0.0194806506606433,0.549088394,N
704872,38,0.0112284180553143,0.578274481,N
950793,18,0.0188536805624365,0.67244134,N
909147,36,0.0166519676639492,0.570390095,N
892814,28,0.0152339571255908,0.83990507,N
105677,35,0.0157477918244802,0.303557093,N
467235,35,0.0219115299408235,0.7603546409999999,N
715291,36,0.009006758044770241,0.376320628,N
871712,26,0.0198340168662447,0.631074633,N
278,26,0.0183844780203956,0.457870484,N
125848,23,0.0146633946094629,0.718890458,N
628364,15,0.0258628357788087,0.57554101,N
115873,34,0.0189042906581793,0.457870484,N
166766,35,0.0181508488870359,0.457870484,N
836964,34,0.0163582344080613,0.649688725,N
385653,24,0.0151339372847706,0.68596116,N
266389,19,0.0218481899688904,0.740149873,N
594223,34,0.0213065072189548,0.316290503,N
973714,12,0.0126766142046703,0.600171687,N
523178,29,0.0222107748896763,0.7251544259999999,N
752209,36,0.017738889647617,0.713182599,Y
981090,44,0.0165705564581059,0.7603546409999999,N
930285,31,0.0172951829373892,0.206129064,N
240778,35,0.02180303741623,0.600171687,N
242717,28,0.0168952303952591,0.72642769,N
104311,33,0.00880663833213657,0.833305717,N
675470,22,0.0248609148909576,0.467185722,N
873006,27,0.019588821617316003,0.465253994,N
718124,29,0.0076029176096973,0.666486778,N
15877,29,0.0126760247951905,0.624139796,N
826132,26,0.0159576660985162,0.6762420640000001,N
406769,1,0.00953465362539739,0.792060408,N
860881,22,0.0197975133751916,0.7603546409999999,N
951016,33,0.0188447975778017,0.55568636,N
966092,22,0.0123149480103968,0.649688725,N
836841,31,0.0243959625418932,0.71239533,N
605059,27,0.0207049287299248,0.7251544259999999,N
175115,31,0.0181276773656639,0.4789915970000001,N
508494,39,0.0130854508623838,0.7603546409999999,N
607562,42,0.0144429652062624,0.739349272,N
639466,37,0.0241059894721206,0.659160634,N
880605,20,0.00859153742879205,0.493775228,N
731870,30,0.0249902879960236,0.676293785,N
373069,21,0.0201655788748758,0.692426419,N
539395,42,0.0154221764242015,0.457870484,N
830033,20,0.0210705651472318,0.42586013,N
148999,32,0.00861229538575068,0.504723331,N
599116,34,0.0178375147259188,0.669523864,N
845325,36,0.008781373891877959,0.480935685,N
661530,19,0.0233001426985352,0.206129064,N
801124,24,0.0156598732907652,0.666486778,N
165761,26,0.0175827275894809,0.718890458,Y
772643,46,0.0181911012782727,0.630777366,N
922963,25,0.00834699286068075,0.67244134,N
596228,24,0.0148746673140016,0.624139796,N
946759,26,0.0201444940822054,0.637194809,N
607228,42,0.0118460603044644,0.7140736990000001,N
697662,17,0.0152131396451026,0.7292331459999999,N
579262,28,0.0190382371470696,0.55568636,Y
821895,26,0.0204523361881673,0.494816793,N
45560,29,0.0181153376514723,0.600171687,Y
282091,36,0.0209221195685165,0.637437199,N
545592,24,0.0240547136105297,0.764495202,N
568698,39,0.0113311745092372,0.740975301,N
986317,18,0.00958594839057993,0.596008496,N
142027,17,0.0190027170002152,0.83990507,N
620933,27,0.0212394515774024,0.303557093,N
830792,30,0.0118721469721448,0.5587315279999999,N
347421,28,0.0140011694510775,0.676293785,N
947222,29,0.0254003716071446,0.477337418,N
12005,23,0.0110941531312806,0.8077399609999999,N
864756,24,0.0105732356761401,0.67244134,N
793492,23,0.0206672338604656,0.688403005,N
524921,37,0.0160245559709713,0.5587315279999999,N
565582,23,0.0210161937363852,0.518515331,N
586443,28,0.0100220629279392,0.6762420640000001,Y
79189,25,0.0180542041038231,0.782987398,N
718540,36,0.024846362589468,0.57554101,N
396630,39,0.00867586725087292,0.694879192,N
939943,27,0.0166402730245588,0.206129064,N
993189,17,0.0193907683801519,0.588356,N
756181,24,0.0160123923264932,0.303557093,N
794903,28,0.0258139287465851,0.480935685,N
191185,19,0.0156839236395282,0.755697721,N
637665,21,0.0189177943454556,0.280732339,N
147541,26,0.0229765003636281,0.6762420640000001,N
