custid,AreaCode,age,gender,kids,education,income,dataplan,basebill,bill,mins,calls,long,numphones,numother,consecmonths,datause,dataperc,undercontract,Manufacturer,Model,Version,OS,Patch,Mem,Storage,Touchscreen,Color,KPI_DeviceSat,KPI_NetworkQual,servcalls,drops,dropperc,CompPromo60,churn
844336,612,45,F,2,11,89.2,4096,61.81,71.44,550,55,35,1,0,28,651,0.158935546875,N,Apple,iPhone5,Gen6,iOS3,S8,32GB,Y,Y,silver,0.0160345039664219,0.7603546409999999,0,9,0.0163636363636364,NoPromo,N
146041,317,43,F,1,9,54.2,2048,110.27,124.23,545,66,35,1,0,33,774,0.3779296875,N,Motorola,DroidUltra,Gen6,IceCreamSandwich,S4,16GB,N,Y,black,0.0170551148054854,0.526147204,0,10,0.018348623853211003,NoPromo,N
847745,278,41,F,1,12,55.3,2048,104.22,112.42,378,91,19,1,0,41,578,0.2822265625,N,HTC,Desire500,Gen2,Bada,S3,8GB,Y,Y,black,0.00889616180366376,0.798810583,0,7,0.0185185185185185,Promo,N
285565,408,31,M,0,10,66.8,4096,95.69,105.12,552,71,38,2,0,32,1111,0.271240234375,N,Samsung,GalaxyS0,Gen3,JellyBean,S1,64GB,Y,Y,black,0.0164598085384115,0.631074633,0,8,0.0144927536231884,NoPromo,N
754611,305,43,F,0,8,87.2,2048,95.4,109.48,577,56,31,2,0,4,407,0.19873046875,Y,Apple,iPhone3G,Gen1,iOS6,S5,64GB,Y,Y,white,0.0207106576742021,0.72642769,0,7,0.0121317157712305,NoPromo,N
100018,612,37,M,1,8,57.6,6144,122.09,126.5,532,76,30,1,0,26,473,0.0769856770833333,N,Samsung,Galaxy,Gen1,KitKat,S7,64GB,Y,Y,white,0.0110610845340877,0.7603546409999999,0,13,0.0244360902255639,NoPromo,N
195381,864,48,F,1,6,78.2,6144,98.33,105.88,716,60,39,1,0,18,798,0.1298828125,Y,Motorola,MotoG,Gen5,Gingerbread,S2,32GB,N,Y,black,0.0141284022811508,0.586984301,0,10,0.0139664804469274,Promo,N
665504,218,57,F,2,11,79.2,4096,105.68,119.27,501,64,33,1,0,22,1439,0.351318359375,Y,Apple,iPhone4,Gen7,iOS5,S9,32GB,N,Y,silver,0.0173072488274286,0.7464753270000001,0,7,0.0139720558882236,Promo,N
529231,707,49,F,2,8,102.3,6144,75.7,88.18,462,51,27,1,0,13,789,0.12841796875,Y,Apple,iPhone4,Gen1,iOS5,S5,32GB,N,Y,silver,0.0171973594318547,0.480935685,0,11,0.0238095238095238,NoPromo,N
358025,282,59,F,1,9,81.6,6144,66.21,73.33,437,49,26,1,0,42,0,0.0,N,Motorola,DroidMini,Gen1,JellyBean,S5,16GB,Y,Y,silver,0.0164883365616948,0.637437199,0,10,0.022883295194508,NoPromo,N
441653,323,45,M,0,9,96.7,2048,106.91,115.82,275,32,14,2,0,15,1303,0.63623046875,Y,Motorola,DroidMini,Gen2,JellyBean,S2,16GB,Y,Y,silver,0.017006771227395003,0.49377522799999995,0,11,0.04,Promo,N
430610,802,37,F,2,10,23.2,4096,94.68,100.14,430,55,22,2,0,23,1629,0.397705078125,Y,Apple,iPhone3G,Gen3,iOS6,S2,32GB,Y,Y,silver,0.0283791932398839,0.588356,0,9,0.0209302325581395,NoPromo,N
273314,318,58,M,0,10,74.6,2048,75.89,85.45,505,76,29,3,0,32,786,0.3837890625,N,Samsung,GalaxyS1,Gen1,IceCreamSandwich,S5,64GB,Y,Y,silver,0.0104622892672466,0.5244084920000001,0,14,0.0277227722772277,Promo,N
57668,203,45,M,3,9,119.9,6144,61.51,72.17,706,88,37,1,0,33,1594,0.25944010416666696,N,Samsung,Galaxy,Gen2,KitKat,S4,16GB,N,Y,gold,0.010627870782518001,0.47733741799999996,0,9,0.0127478753541076,NoPromo,N
717684,507,46,F,1,10,62.5,2048,60.74,73.07,562,53,30,1,0,28,861,0.42041015625,N,Apple,iPhone3G,Gen2,iOS6,S6,64GB,N,Y,gold,0.0176395305614047,0.676293785,0,8,0.0142348754448399,NoPromo,N
637210,278,49,F,0,6,107.3,6144,72.09,83.2,280,44,17,2,0,22,549,0.08935546875,Y,Apple,iPhone3G,Gen5,iOS6,S5,8GB,Y,Y,silver,0.0159813952103922,0.798810583,0,7,0.025,Promo,N
351148,619,51,M,2,11,56.5,2048,72.96,76.57,716,18,37,1,0,24,1453,0.70947265625,N,Samsung,GalaxyS1,Gen6,IceCreamSandwich,S1,32GB,Y,Y,green,0.0104255198590464,0.691894965,0,8,0.0111731843575419,Promo,N
959615,415,43,M,2,7,56.9,6144,125.6,136.91,494,74,28,1,0,31,1498,0.243815104166667,N,Apple,iPhone4,Gen1,iOS5,S6,64GB,Y,Y,white,0.0207401334772132,0.662148594,0,8,0.0161943319838057,NoPromo,N
747647,618,65,F,2,7,39.0,6144,86.19,99.5,508,49,28,1,0,20,364,0.0592447916666667,Y,Motorola,RazrM,Gen7,KitKat,S5,16GB,Y,Y,white,0.0180597004687501,0.713182599,0,9,0.0177165354330709,NoPromo,N
927542,702,41,F,0,10,88.3,6144,174.9,179.24,455,75,26,1,0,31,356,0.0579427083333333,N,HTC,Desire500,Gen1,Bada,S1,16GB,N,Y,gold,0.0121229647534408,0.5766812729999999,0,11,0.0241758241758242,NoPromo,N
18523,816,26,F,1,7,51.3,4096,89.99,104.8,674,49,34,1,0,24,851,0.207763671875,N,HTC,Desire700,Gen2,Gingerbread,S1,64GB,Y,Y,white,0.009887117991977709,0.7988804740000001,0,13,0.0192878338278932,Promo,N
127001,507,44,F,1,10,90.0,6144,109.08,124.58,463,94,25,1,0,24,916,0.149088541666667,N,Apple,iPhone3G,Gen6,iOS6,S7,16GB,N,Y,green,0.0166218212001711,0.676293785,0,15,0.0323974082073434,NoPromo,Y
384131,314,42,F,2,10,88.6,4096,109.48,118.75,598,140,39,1,0,15,994,0.24267578125,Y,Samsung,Galaxy,Gen2,KitKat,S4,64GB,Y,Y,green,0.0127460603044644,0.6952925190000001,0,11,0.0183946488294314,NoPromo,N
98467,409,47,M,1,8,59.3,2048,109.23,111.77,444,60,27,1,0,13,684,0.333984375,Y,Apple,iPhone3G,Gen4,iOS6,S1,16GB,N,Y,gold,0.0182306743414251,0.592689247,0,12,0.027027027027027,NoPromo,N
185604,212,45,M,2,10,29.2,2048,76.96,81.92,472,65,24,1,0,22,0,0.0,Y,Apple,iPhone3G,Gen4,iOS6,S5,8GB,Y,Y,silver,0.0173923511294928,0.316290503,0,6,0.0127118644067797,NoPromo,N
243163,612,52,M,1,9,76.7,4096,99.67,105.79,597,58,30,1,0,32,440,0.107421875,N,Motorola,RazrM,Gen2,KitKat,S7,8GB,Y,Y,white,0.0152495995861393,0.7603546409999999,0,8,0.0134003350083752,NoPromo,N
144652,705,47,M,0,10,74.8,2048,103.42,117.06,586,83,30,2,0,17,840,0.41015625,Y,Apple,iPhone3G,Gen1,iOS6,S1,32GB,Y,Y,red,0.0212004516180784,0.37397117799999996,0,9,0.015358361774744,NoPromo,N
941654,309,33,F,2,10,24.6,2048,98.68,108.66,491,79,28,1,0,37,1047,0.51123046875,N,HTC,Desire700,Gen1,Gingerbread,S1,8GB,Y,Y,white,0.0115079229226514,0.494816793,0,13,0.0264765784114053,Promo,N
