custid,dropperc,mins,consecmonths,income,age,churn_Y,prob
844336,0.0163636363636364,550,28,89.2,45,0,0.4528542608392914
146041,0.018348623853211003,545,33,54.2,43,0,0.4386190615689706
847745,0.0185185185185185,378,41,55.3,41,0,0.428265230646041
285565,0.0144927536231884,552,32,66.8,31,0,0.4565420881823841
754611,0.0121317157712305,577,4,87.2,43,0,0.16012628116859023
100018,0.0244360902255639,532,26,57.6,37,0,0.47509789406097513
195381,0.0139664804469274,716,18,78.2,48,0,0.14987141562038103
665504,0.0139720558882236,501,22,79.2,57,0,0.412357825861321
529231,0.0238095238095238,462,13,102.3,49,0,0.27409903237834826
358025,0.022883295194508,437,42,81.6,59,0,0.467008397595142
441653,0.04,275,15,96.7,45,0,0.3008940604122306
430610,0.0209302325581395,430,23,23.2,37,0,0.40112882962192953
273314,0.0277227722772277,505,32,74.6,58,0,0.48990883472242036
57668,0.0127478753541076,706,33,119.9,45,0,0.18639810038856744
717684,0.0142348754448399,562,28,62.5,46,0,0.4539323524657778
637210,0.025,280,22,107.3,49,0,0.4277377083464059
351148,0.0111731843575419,716,24,56.5,51,0,0.17825346176282758
959615,0.0161943319838057,494,31,56.9,43,0,0.44672261654805445
747647,0.0177165354330709,508,20,39.0,65,0,0.38725245879822867
927542,0.0241758241758242,455,31,88.3,41,0,0.4758772157975401
18523,0.0192878338278932,674,24,51.3,26,0,0.4531421229891481
127001,0.0323974082073434,463,24,90.0,44,1,0.508087288514616
384131,0.0183946488294314,598,15,88.6,42,0,0.2614115242205713
98467,0.027027027027027,444,13,59.3,47,0,0.27633082819971544
185604,0.0127118644067797,472,22,29.2,45,0,0.2539409874519046
243163,0.0134003350083752,597,32,76.7,52,0,0.30617209149247815
144652,0.015358361774744,586,17,74.8,47,0,0.2557581763005958
941654,0.0264765784114053,491,37,24.6,33,0,0.4731841264889915
288493,0.0208768267223382,479,21,62.8,39,0,0.41765719396942386
860457,0.0224525043177893,579,21,84.8,39,0,0.42859144545607597
127386,0.0165441176470588,544,19,55.6,57,0,0.40083570232391874
937795,0.0416666666666667,288,23,61.2,64,0,0.4540766738861199
831993,0.0192644483362522,571,32,53.3,56,0,0.4341286208069199
435945,0.0263852242744063,379,29,98.8,34,0,0.4766131057296086
449853,0.0177304964539007,564,24,81.2,53,0,0.4455583210624038
184369,0.0125,480,41,46.8,38,0,0.2985028173555024
601428,0.0119760479041916,668,20,74.7,33,0,0.28302268398290537
518246,0.025,440,26,88.3,33,0,0.48599649469497214
698042,0.0157819225251076,697,32,61.1,45,0,0.2888605458226835
99579,0.0238095238095238,504,38,77.8,34,1,0.4868541362692518
702464,0.0223048327137546,538,32,86.4,40,0,0.46972473991097197
873682,0.0319148936170213,282,20,90.5,39,0,0.44810504390606753
379826,0.0159651669085631,689,29,90.5,46,0,0.2939766956537311
735337,0.0321361058601134,529,44,69.7,45,0,0.5073629582336127
931548,0.0142566191446029,491,32,36.3,32,0,0.43746368933423846
54918,0.0174757281553398,515,17,61.5,48,0,0.2513773917117478
655089,0.0118811881188119,505,28,72.6,37,0,0.30801423306470166
450972,0.011686143572621,599,24,80.8,36,0,0.3123199004089046
433315,0.0128440366972477,545,22,96.0,41,0,0.27629624219003074
854319,0.0183066361556064,437,21,78.8,38,0,0.4045003742275784
444703,0.03603603603603602,333,22,73.2,47,0,0.4515105450006777
256550,0.0136752136752137,585,39,77.4,36,0,0.31728665355177443
200606,0.0263157894736842,342,31,64.0,56,0,0.46088077673895395
792794,0.0323624595469256,309,42,94.2,54,1,0.4959897076536735
134503,0.0172661870503597,695,18,47.5,38,0,0.14272099412627712
490233,0.014827018121911001,607,27,98.2,44,0,0.4624663409316929
444448,0.0125448028673835,558,31,65.4,45,0,0.3051346189785331
774125,0.0196463654223969,509,35,12.4,36,0,0.4324741219061471
272365,0.0217391304347826,414,33,80.4,32,0,0.4641592972375574
444826,0.0276595744680851,470,34,87.6,48,1,0.4945849623035882
115329,0.0151260504201681,595,30,73.3,28,0,0.4550585384234619
148486,0.0221130221130221,407,35,56.9,22,0,0.46431279857858926
675026,0.0275,400,27,47.0,47,0,0.47795714250047916
277582,0.0243445692883895,534,44,56.1,40,0,0.4726494864756031
120514,0.0113636363636364,528,22,59.5,48,0,0.2677745990280984
170275,0.019559902200488997,409,19,90.6,36,0,0.4164820680679909
187187,0.0391061452513966,358,30,93.0,44,1,0.5040140214526215
837617,0.0222222222222222,450,35,47.1,45,0,0.4500360831022412
3651,0.0189393939393939,528,25,53.2,38,0,0.4386190615689706
788090,0.013986013986014,429,11,77.9,40,0,0.25884095360912923
960071,0.0206422018348624,436,20,74.6,51,0,0.41450272994823356
