,httpResponse,requestId,timeStamp,timingMillis,data.consecmonths,data.dropperc,data.income,data.mins,output
7926,200,5OB7X3CRN0M8SAJF,2016-01-01 05:29:46.099,0,20,0.021,79.4,525,0.0007
7925,200,5OB7X3CRN0M8SAJF,2016-01-01 06:42:38.623,0,27,0.0135,108.1,445,0.0006000000000000001
7924,200,5OB7X3CRN0M8SAJF,2016-01-01 07:52:49.891,0,20,0.0193,78.9,466,0.0002
7923,200,5OB7X3CRN0M8SAJF,2016-01-01 08:35:18.523,0,33,0.0098,72.2,512,0.0005
7922,200,5OB7X3CRN0M8SAJF,2016-01-01 09:36:04.824,0,21,0.028200000000000003,83.7,390,0.0001
7921,200,5OB7X3CRN0M8SAJF,2016-01-01 10:29:25.148,0,22,0.0212,55.6,472,0.0002
7920,200,5OB7X3CRN0M8SAJF,2016-01-01 17:22:24.275,0,23,0.0128,56.7,627,0.0001
7919,200,5OB7X3CRN0M8SAJF,2016-01-01 23:02:41.510,0,22,0.014,60.6,644,0.00030000000000000003
7918,200,5OB7X3CRN0M8SAJF,2016-01-02 03:07:50.384,0,8,0.028800000000000003,70.7,347,0.0
7917,200,5OB7X3CRN0M8SAJF,2016-01-02 04:38:33.902,0,33,0.024200000000000003,79.7,414,0.0454
7916,200,5OB7X3CRN0M8SAJF,2016-01-02 07:55:38.494,0,30,0.0198,64.2,506,0.009000000000000001
7915,200,5OB7X3CRN0M8SAJF,2016-01-02 09:53:19.771,0,28,0.019,76.1,525,0.0025
7914,200,5OB7X3CRN0M8SAJF,2016-01-02 12:06:07.646,0,33,0.0148,79.8,607,0.004
7913,200,5OB7X3CRN0M8SAJF,2016-01-02 19:01:59.917,0,25,0.015700000000000002,30.8,638,0.0012
7912,200,5OB7X3CRN0M8SAJF,2016-01-02 20:42:28.634,0,32,0.0257,101.7,467,0.21899999999999997
7911,200,5OB7X3CRN0M8SAJF,2016-01-03 03:02:04.008,0,29,0.028200000000000003,92.6,390,0.13820000000000002
7910,200,5OB7X3CRN0M8SAJF,2016-01-03 03:43:48.706,0,25,0.0189,53.2,528,0.0009000000000000002
7909,200,5OB7X3CRN0M8SAJF,2016-01-03 06:59:50.278,0,15,0.0098,86.0,611,0.0001
7908,200,5OB7X3CRN0M8SAJF,2016-01-04 07:33:54.001,0,28,0.022600000000000002,62.6,398,0.0129
7907,200,5OB7X3CRN0M8SAJF,2016-01-04 12:23:17.050,0,26,0.0364,27.8,275,0.08560000000000001
7906,200,5OB7X3CRN0M8SAJF,2016-01-04 17:19:04.012,0,22,0.032600000000000004,35.7,368,0.0
7905,200,5OB7X3CRN0M8SAJF,2016-01-04 18:03:35.421,0,28,0.0268,71.7,299,0.0134
