custid,dropperc,mins,KPI_DeviceSat,consecmonths,long,income,KPI_NetworkQual,dataperc,age,bill,datause,calls,education,servcalls,dataplan,kids,churn_Y
844336,0.0163636363636364,550,0.0160345039664219,28,35,89.2,0.7603546409999999,0.158935546875,45,71.44,651,55,11,0,4096,2,0
146041,0.018348623853211003,545,0.0170551148054854,33,35,54.2,0.526147204,0.3779296875,43,124.23,774,66,9,0,2048,1,0
847745,0.0185185185185185,378,0.00889616180366376,41,19,55.3,0.798810583,0.2822265625,41,112.42,578,91,12,0,2048,1,0
285565,0.0144927536231884,552,0.0164598085384115,32,38,66.8,0.631074633,0.271240234375,31,105.12,1111,71,10,0,4096,0,0
754611,0.0121317157712305,577,0.0207106576742021,4,31,87.2,0.72642769,0.19873046875,43,109.48,407,56,8,0,2048,0,0
100018,0.0244360902255639,532,0.0110610845340877,26,30,57.6,0.7603546409999999,0.0769856770833333,37,126.5,473,76,8,0,6144,1,0
195381,0.0139664804469274,716,0.0141284022811508,18,39,78.2,0.586984301,0.1298828125,48,105.88,798,60,6,0,6144,1,0
665504,0.0139720558882236,501,0.0173072488274286,22,33,79.2,0.7464753270000001,0.351318359375,57,119.27,1439,64,11,0,4096,2,0
529231,0.0238095238095238,462,0.0171973594318547,13,27,102.3,0.480935685,0.12841796875,49,88.18,789,51,8,0,6144,2,0
358025,0.022883295194508,437,0.0164883365616948,42,26,81.6,0.637437199,0.0,59,73.33,0,49,9,0,6144,1,0
441653,0.04,275,0.017006771227395003,15,14,96.7,0.493775228,0.63623046875,45,115.82,1303,32,9,0,2048,0,0
430610,0.0209302325581395,430,0.0283791932398839,23,22,23.2,0.588356,0.397705078125,37,100.14,1629,55,10,0,4096,2,0
273314,0.0277227722772277,505,0.0104622892672466,32,29,74.6,0.5244084920000001,0.3837890625,58,85.45,786,76,10,0,2048,0,0
57668,0.0127478753541076,706,0.010627870782518,33,37,119.9,0.477337418,0.25944010416666696,45,72.17,1594,88,9,0,6144,3,0
717684,0.0142348754448399,562,0.0176395305614047,28,30,62.5,0.676293785,0.42041015625,46,73.07,861,53,10,0,2048,1,0
637210,0.025,280,0.0159813952103922,22,17,107.3,0.798810583,0.08935546875,49,83.2,549,44,6,0,6144,0,0
351148,0.0111731843575419,716,0.0104255198590464,24,37,56.5,0.691894965,0.70947265625,51,76.57,1453,18,11,0,2048,2,0
959615,0.0161943319838057,494,0.0207401334772132,31,28,56.9,0.662148594,0.243815104166667,43,136.91,1498,74,7,0,6144,2,0
747647,0.0177165354330709,508,0.0180597004687501,20,28,39.0,0.713182599,0.0592447916666667,65,99.5,364,49,7,0,6144,2,0
927542,0.0241758241758242,455,0.0121229647534408,31,26,88.3,0.5766812729999999,0.0579427083333333,41,179.24,356,75,10,0,6144,0,0
18523,0.0192878338278932,674,0.009887117991977707,24,34,51.3,0.7988804740000001,0.207763671875,26,104.8,851,49,7,0,4096,1,0
127001,0.0323974082073434,463,0.0166218212001711,24,25,90.0,0.676293785,0.149088541666667,44,124.58,916,94,10,0,6144,1,1
384131,0.0183946488294314,598,0.0127460603044644,15,39,88.6,0.6952925190000001,0.24267578125,42,118.75,994,140,10,0,4096,2,0
98467,0.027027027027027,444,0.0182306743414251,13,27,59.3,0.592689247,0.333984375,47,111.77,684,60,8,0,2048,1,0
185604,0.0127118644067797,472,0.0173923511294928,22,24,29.2,0.316290503,0.0,45,81.92,0,65,10,0,2048,2,0
243163,0.0134003350083752,597,0.0152495995861393,32,30,76.7,0.7603546409999999,0.107421875,52,105.79,440,58,9,0,4096,1,0
144652,0.015358361774744,586,0.0212004516180784,17,30,74.8,0.373971178,0.41015625,47,117.06,840,83,10,0,2048,0,0
941654,0.0264765784114053,491,0.0115079229226514,37,28,24.6,0.494816793,0.51123046875,33,108.66,1047,79,10,0,2048,2,0
288493,0.0208768267223382,479,0.00966244373518907,21,25,62.8,0.785960397,0.040283203125,39,100.21,165,71,5,0,4096,2,0
860457,0.0224525043177893,579,0.0228034371581426,21,30,84.8,0.798810583,0.0,39,199.9,0,69,13,0,4096,1,0
127386,0.0165441176470588,544,0.0109327690294595,19,28,55.6,0.701120968,0.005126953125,57,111.78,21,24,13,0,4096,1,0
937795,0.0416666666666667,288,0.0214952679063629,23,16,61.2,0.493775228,0.41455078125,64,71.44,849,84,12,0,2048,2,0
831993,0.0192644483362522,571,0.0248741896443985,32,29,53.3,0.504101766,0.0,56,98.79,0,26,7,0,6144,1,0
435945,0.0263852242744063,379,0.0188606844307491,29,19,98.8,0.465253994,0.165852864583333,34,96.02,1019,89,12,0,6144,2,0
449853,0.0177304964539007,564,0.0171297684027421,24,32,81.2,0.6762420640000001,0.08154296875,53,72.78,501,56,10,0,6144,0,0
184369,0.0125,480,0.0193939175548491,41,29,46.8,0.716983294,0.159423828125,38,104.67,653,106,7,0,4096,4,0
601428,0.0119760479041916,668,0.011598841752036002,20,37,74.7,0.376320628,0.43017578125,33,118.42,881,26,7,0,2048,2,0
518246,0.025,440,0.0116655677748666,26,52,88.3,0.662148594,0.1162109375,33,62.49,238,89,11,0,2048,1,0
