custid,dropperc,mins,consecmonths,age,income,churn_Y,prob
844336,0.0163636363636364,550,28,45,89.2,0,0.00659663480879897
146041,0.018348623853211003,545,33,43,54.2,0,0.0010522809847941627
847745,0.0185185185185185,378,41,41,55.3,0,0.0007274854488193332
285565,0.0144927536231884,552,32,31,66.8,0,0.002810053118176618
754611,0.0121317157712305,577,4,43,87.2,0,0.00020848617756147228
100018,0.0244360902255639,532,26,37,57.6,0,0.06268828926357535
195381,0.0139664804469274,716,18,48,78.2,0,0.00039296067400399626
665504,0.0139720558882236,501,22,57,79.2,0,0.00022296514613918405
529231,0.0238095238095238,462,13,49,102.3,0,0.000698631048453347
358025,0.022883295194508,437,42,59,81.6,0,0.01904285593339672
441653,0.04,275,15,45,96.7,0,0.00017240760794440965
430610,0.0209302325581395,430,23,37,23.2,0,0.00014660745768402592
273314,0.0277227722772277,505,32,58,74.6,0,0.1989858994609618
57668,0.0127478753541076,706,33,45,119.9,0,0.0006886635977941433
717684,0.0142348754448399,562,28,46,62.5,0,0.0041878636122148465
637210,0.025,280,22,49,107.3,0,0.0002479272846395544
351148,0.0111731843575419,716,24,51,56.5,0,0.0004273125274516448
959615,0.0161943319838057,494,31,43,56.9,0,0.002120468769900541
747647,0.0177165354330709,508,20,65,39.0,0,7.357652332288991e-05
927542,0.0241758241758242,455,31,41,88.3,0,0.05060643939978744
18523,0.0192878338278932,674,24,26,51.3,0,0.0010964385042196876
127001,0.0323974082073434,463,24,44,90.0,1,0.7506075652222524
384131,0.0183946488294314,598,15,42,88.6,0,0.0004506419833682741
98467,0.027027027027027,444,13,47,59.3,0,0.0003101246247066339
185604,0.0127118644067797,472,22,45,29.2,0,8.728913831594097e-05
243163,0.0134003350083752,597,32,52,76.7,0,0.0004947697158455246
144652,0.015358361774744,586,17,47,74.8,0,0.00020405595144629458
941654,0.0264765784114053,491,37,33,24.6,0,0.1106382760850913
288493,0.0208768267223382,479,21,39,62.8,0,0.0002588854137355723
860457,0.0224525043177893,579,21,39,84.8,0,0.0026763327350849964
127386,0.0165441176470588,544,19,57,55.6,0,8.535657203203112e-05
937795,0.0416666666666667,288,23,64,61.2,0,0.00010573810340485882
831993,0.0192644483362522,571,32,56,53.3,0,0.0010018909404345795
435945,0.0263852242744063,379,29,34,98.8,0,0.04408765963927441
449853,0.0177304964539007,564,24,53,81.2,0,0.0028246708749831637
184369,0.0125,480,41,38,46.8,0,0.0003911263475107196
601428,0.0119760479041916,668,20,33,74.7,0,0.00020321922436641115
518246,0.025,440,26,33,88.3,0,0.08050940471182824
698042,0.0157819225251076,697,32,45,61.1,0,0.0041585848448025455
